"DR2_040Z.Code.or.Value","DR2_040Z.Value.Description","DR2_040Z.Count","DR2_040Z.Cumulative","DR2_040Z.Skip.to.Item"
"1","Yes",78643,78643,NA
"2","No",32850,111493,NA
"7","Refused",0,111493,NA
"9","Don't know",1,111494,NA
".","Missing",607,112101,NA
