"WTSHM4YR.Code.or.Value","WTSHM4YR.Value.Description","WTSHM4YR.Count","WTSHM4YR.Cumulative","WTSHM4YR.Skip.to.Item"
"2225.5226276 to 348772.28063","Range of Values",2465,2465,NA
"0","Non-Respondent",82,2547,NA
".","Missing",0,2547,NA
