"CVDEXCL3.Code.or.Value","CVDEXCL3.Value.Description","CVDEXCL3.Count","CVDEXCL3.Cumulative","CVDEXCL3.Skip.to.Item"
"1","Yes",135,135,NA
"2","No",664,799,NA
".","Missing",3803,4602,NA
