"DR1TRET.Code.or.Value","DR1TRET.Value.Description","DR1TRET.Count","DR1TRET.Cumulative","DR1TRET.Skip.to.Item"
"0 to 28970","Range of Values",8894,8894,NA
".","Missing",749,9643,NA
