"LB2GTCSI.Code.or.Value","LB2GTCSI.Value.Description","LB2GTCSI.Count","LB2GTCSI.Cumulative","LB2GTCSI.Skip.to.Item"
"0.183 to 23.852","Range of Values",543,543,NA
".","Missing",8,551,NA
