"BAXPFC32.Code.or.Value","BAXPFC32.Value.Description","BAXPFC32.Count","BAXPFC32.Cumulative","BAXPFC32.Skip.to.Item"
"1","Pass",25,25,"BAXPFC41"
"2","Dnp(did not pass)",26,51,""
".","Missing",3133,3184,""
