"DS2TZINC.Code.or.Value","DS2TZINC.Value.Description","DS2TZINC.Count","DS2TZINC.Cumulative","DS2TZINC.Skip.to.Item"
"0.11 to 150","Range of Values",1316,1316,NA
".","Missing",8228,9544,NA
