"SSSPIKE.Code.or.Value","SSSPIKE.Value.Description","SSSPIKE.Count","SSSPIKE.Cumulative","SSSPIKE.Skip.to.Item"
"0 to 3.28","Range of Values",121,121,NA
".","Missing",1920,2041,NA
