"SSKL_R.Code.or.Value","SSKL_R.Value.Description","SSKL_R.Count","SSKL_R.Cumulative","SSKL_R.Skip.to.Item"
"0.0252 to 666.6667","Range of Values",163,163,NA
".","Missing",1878,2041,NA
