"DSQIZINC.Code.or.Value","DSQIZINC.Value.Description","DSQIZINC.Count","DSQIZINC.Cumulative","DSQIZINC.Skip.to.Item"
"0.00374 to 500","Range of Values",2706,2706,NA
".","Missing",5694,8400,NA
