"AUXRR279.Code.or.Value","AUXRR279.Value.Description","AUXRR279.Count","AUXRR279.Cumulative","AUXRR279.Skip.to.Item"
"-17 to 125","Range of Values",2752,2752,NA
".","Missing",282,3034,NA
