"AUXROTSP.Code.or.Value","AUXROTSP.Value.Description","AUXROTSP.Count","AUXROTSP.Cumulative","AUXROTSP.Skip.to.Item"
"1","Yes (checkbox checked)",3623,3623,NA
"2","No (checkbox unchecked)",746,4369,NA
".","Missing",213,4582,NA
