"SMD415A.Code.or.Value","SMD415A.Value.Description","SMD415A.Count","SMD415A.Cumulative","SMD415A.Skip.to.Item"
"1 to 2","Range of Values",1315,1315,NA
"3","3 or more",126,1441,NA
".","Missing",9096,10537,NA
