"OHD23LAS.Code.or.Value","OHD23LAS.Value.Description","OHD23LAS.Count","OHD23LAS.Cumulative","OHD23LAS.Skip.to.Item"
"0 to 14","Range of Values",2655,2655,NA
"99","Calculation cannot be determined",121,2776,NA
".","Missing",4354,7130,NA
