"PFD069N.Code.or.Value","PFD069N.Value.Description","PFD069N.Count","PFD069N.Cumulative","PFD069N.Skip.to.Item"
"152 to 4380","Range of Values",28,28,NA
"66666","Since birth",0,28,NA
"77777","Refused",0,28,NA
"99999","Don't know",5,33,NA
".","Missing",10437,10470,NA
