"MCQ240z.Code.or.Value","MCQ240z.Value.Description","MCQ240z.Count","MCQ240z.Cumulative","MCQ240z.Skip.to.Item"
"11 to 79","Range of Values",9,9,NA
"80","80 years or older",0,9,NA
"77777","Refused",0,9,NA
"99999","Don't know",0,9,NA
".","Missing",9355,9364,NA
