"LBDLDL.Code.or.Value","LBDLDL.Value.Description","LBDLDL.Count","LBDLDL.Cumulative","LBDLDL.Skip.to.Item"
"23 to 344","Range of Values",3035,3035,NA
".","Missing",280,3315,NA
