"DS1ISODI.Code.or.Value","DS1ISODI.Value.Description","DS1ISODI.Count","DS1ISODI.Cumulative","DS1ISODI.Skip.to.Item"
"1.14 to 230","Range of Values",472,472,NA
".","Missing",5434,5906,NA
