"WHD100A.Code.or.Value","WHD100A.Value.Description","WHD100A.Count","WHD100A.Cumulative","WHD100A.Skip.to.Item"
"10","Ate less food (amount)",248,248,NA
"77","Refused",0,248,NA
"99","Don't know",0,248,NA
".","Missing",5927,6175,NA
