"DR1IVD.Code.or.Value","DR1IVD.Value.Description","DR1IVD.Count","DR1IVD.Cumulative","DR1IVD.Skip.to.Item"
"0 to 107.1","Range of Values",125737,125737,NA
".","Missing",766,126503,NA
