"DR2TTHEO.Code.or.Value","DR2TTHEO.Value.Description","DR2TTHEO.Count","DR2TTHEO.Cumulative","DR2TTHEO.Skip.to.Item"
"0 to 879","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
