"DXXL3BMD.Code.or.Value","DXXL3BMD.Value.Description","DXXL3BMD.Count","DXXL3BMD.Cumulative","DXXL3BMD.Skip.to.Item"
"0.448 to 1.765","Range of Values",2735,2735,NA
".","Missing",973,3708,NA
