"ENQ100.Code.or.Value","ENQ100.Value.Description","ENQ100.Count","ENQ100.Cumulative","ENQ100.Skip.to.Item"
"1","Yes",1516,1516,NA
"2","No",5892,7408,NA
"7","Refused",0,7408,NA
"9","Don't know",8,7416,NA
".","Missing",779,8195,NA
