"MCQ240l.Code.or.Value","MCQ240l.Value.Description","MCQ240l.Count","MCQ240l.Cumulative","MCQ240l.Skip.to.Item"
"38","38",1,1,NA
"80","80 years or older",1,2,NA
"77777","Refused",0,2,NA
"99999","Don't know",0,2,NA
".","Missing",9362,9364,NA
