"PAD660.Code.or.Value","PAD660.Value.Description","PAD660.Count","PAD660.Cumulative","PAD660.Skip.to.Item"
"10 to 990","Range of Values",1849,1849,NA
"7777","Refused",0,1849,NA
"9999","Don't know",1,1850,NA
".","Missing",7509,9359,NA
