"DR1IRET.Code.or.Value","DR1IRET.Value.Description","DR1IRET.Count","DR1IRET.Cumulative","DR1IRET.Skip.to.Item"
"0 to 19052","Range of Values",144880,144880,NA
".","Missing",823,145703,NA
