"LBDPFDOL.Code.or.Value","LBDPFDOL.Value.Description","LBDPFDOL.Count","LBDPFDOL.Cumulative","LBDPFDOL.Skip.to.Item"
"0","At or above the detection limit",50,50,NA
"1","Below lower detection limit",2050,2100,NA
".","Missing",194,2294,NA
