"DR2TNIAC.Code.or.Value","DR2TNIAC.Value.Description","DR2TNIAC.Count","DR2TNIAC.Cumulative","DR2TNIAC.Skip.to.Item"
"0 to 222.552","Range of Values",7496,7496,NA
".","Missing",1842,9338,NA
