"DBD910.Code.or.Value","DBD910.Value.Description","DBD910.Count","DBD910.Cumulative","DBD910.Skip.to.Item"
"1 to 180","Range of Values",3697,3697,NA
"0","Never",5593,9290,NA
"7777","Refused",1,9291,NA
"9999","Don't know",1,9292,NA
".","Missing",464,9756,NA
