"WBXA086.Code.or.Value","WBXA086.Value.Description","WBXA086.Count","WBXA086.Cumulative","WBXA086.Skip.to.Item"
"-11.6708 to 0.9988","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
