"OSD030cg.Code.or.Value","OSD030cg.Value.Description","OSD030cg.Count","OSD030cg.Cumulative","OSD030cg.Skip.to.Item"
"85","85 or older",0,0,NA
"77777","Refused",0,0,NA
"99999","Don't know",1,1,NA
".","Missing",5040,5041,NA
