"OSD030ab.Code.or.Value","OSD030ab.Value.Description","OSD030ab.Count","OSD030ab.Cumulative","OSD030ab.Skip.to.Item"
"12 to 81","Range of Values",7,7,NA
"85","85 or older",2,9,NA
"77777","Refused",0,9,NA
"99999","Don't know",0,9,NA
".","Missing",4871,4880,NA
