"DXXOFBMC.Code.or.Value","DXXOFBMC.Value.Description","DXXOFBMC.Count","DXXOFBMC.Cumulative","DXXOFBMC.Skip.to.Item"
"4.9 to 71.28","Range of Values",6963,6963,NA
".","Missing",1222,8185,NA
