"FIALANG.Code.or.Value","FIALANG.Value.Description","FIALANG.Count","FIALANG.Cumulative","FIALANG.Skip.to.Item"
"1","English",8430,8430,NA
"2","Spanish",1212,9642,NA
".","Missing",329,9971,NA
