"ALQ151.Code.or.Value","ALQ151.Value.Description","ALQ151.Count","ALQ151.Cumulative","ALQ151.Skip.to.Item"
"1","Yes",655,655,NA
"2","No",3528,4183,NA
"7","Refused",1,4184,NA
"9","Don't know",2,4186,NA
".","Missing",1429,5615,NA
