"URD4FPLC.Code.or.Value","URD4FPLC.Value.Description","URD4FPLC.Count","URD4FPLC.Cumulative","URD4FPLC.Skip.to.Item"
"0","At or above the detection limit",128,128,NA
"1","Below lower detection limit",2619,2747,NA
".","Missing",84,2831,NA
