"LBCBHCLA.Code.or.Value","LBCBHCLA.Value.Description","LBCBHCLA.Count","LBCBHCLA.Cumulative","LBCBHCLA.Skip.to.Item"
"0.5303 to 914.3","Range of Values",251,251,NA
".","Missing",0,251,NA
