"LBC170LA.Code.or.Value","LBC170LA.Value.Description","LBC170LA.Count","LBC170LA.Cumulative","LBC170LA.Skip.to.Item"
"0.1 to 44","Range of Values",264,264,NA
".","Missing",0,264,NA
