"LBDRSTSI.Code.or.Value","LBDRSTSI.Value.Description","LBDRSTSI.Count","LBDRSTSI.Cumulative","LBDRSTSI.Skip.to.Item"
"0.017 to 0.293","Range of Values",6698,6698,NA
".","Missing",1388,8086,NA
