"BPXDI1.Code.or.Value","BPXDI1.Value.Description","BPXDI1.Count","BPXDI1.Cumulative","BPXDI1.Skip.to.Item"
"0 to 120","Range of Values",6756,6756,NA
".","Missing",2582,9338,NA
