"DSQICHL.Code.or.Value","DSQICHL.Value.Description","DSQICHL.Count","DSQICHL.Cumulative","DSQICHL.Skip.to.Item"
"0.00495 to 1000","Range of Values",662,662,NA
".","Missing",7623,8285,NA
