"CVXS1RPE.Code.or.Value","CVXS1RPE.Value.Description","CVXS1RPE.Count","CVXS1RPE.Cumulative","CVXS1RPE.Skip.to.Item"
"6 to 20","Range of Values",3250,3250,NA
".","Missing",1902,5152,NA
