"LBXHA.Code.or.Value","LBXHA.Value.Description","LBXHA.Count","LBXHA.Cumulative","LBXHA.Skip.to.Item"
"1","Positive",3251,3251,NA
"2","Negative",4769,8020,NA
".","Missing",827,8847,NA
