"DR1TM221.Code.or.Value","DR1TM221.Value.Description","DR1TM221.Count","DR1TM221.Cumulative","DR1TM221.Skip.to.Item"
"0 to 3.618","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
