"LBXRPL.Code.or.Value","LBXRPL.Value.Description","LBXRPL.Count","LBXRPL.Cumulative","LBXRPL.Skip.to.Item"
"0.14 to 40","Range of Values",5867,5867,NA
".","Missing",2965,8832,NA
