"URDUMOLC.Code.or.Value","URDUMOLC.Value.Description","URDUMOLC.Count","URDUMOLC.Cumulative","URDUMOLC.Skip.to.Item"
"0","At or above the detection limit",2528,2528,NA
"1","Below lower detection limit",0,2528,NA
".","Missing",77,2605,NA
