"DCD070A.Code.or.Value","DCD070A.Value.Description","DCD070A.Count","DCD070A.Cumulative","DCD070A.Skip.to.Item"
"1","Yes",931,931,NA
"2","No",264,1195,NA
".","Missing",72,1267,NA
