"BMIWAIST.Code.or.Value","BMIWAIST.Value.Description","BMIWAIST.Count","BMIWAIST.Cumulative","BMIWAIST.Skip.to.Item"
"1","Could not obtain",456,456,NA
".","Missing",8882,9338,NA
