"DRD370TQ.Code.or.Value","DRD370TQ.Value.Description","DRD370TQ.Count","DRD370TQ.Cumulative","DRD370TQ.Skip.to.Item"
"1 to 30","Range of Values",905,905,NA
".","Missing",9045,9950,NA
