"LBCBR9.Code.or.Value","LBCBR9.Value.Description","LBCBR9.Count","LBCBR9.Cumulative","LBCBR9.Skip.to.Item"
"0.8485 to 19.43","Range of Values",251,251,NA
".","Missing",0,251,NA
