"SSII4UC2.Code.or.Value","SSII4UC2.Value.Description","SSII4UC2.Count","SSII4UC2.Cumulative","SSII4UC2.Skip.to.Item"
"0 to 100000","Range of Values",885,885,NA
".","Missing",61,946,NA
