"DSQ128S.Code.or.Value","DSQ128S.Value.Description","DSQ128S.Count","DSQ128S.Cumulative","DSQ128S.Skip.to.Item"
"91","OTHER SPECIFY",82,82,NA
".","Missing",9902,9984,NA
