"DR2TM161.Code.or.Value","DR2TM161.Value.Description","DR2TM161.Count","DR2TM161.Cumulative","DR2TM161.Skip.to.Item"
"0 to 10.398","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
