"LBXTSS.Code.or.Value","LBXTSS.Value.Description","LBXTSS.Count","LBXTSS.Cumulative","LBXTSS.Skip.to.Item"
"1","Positive",95,95,NA
"2","Negative",277,372,NA
".","Missing",9557,9929,NA
