"BIXS031K.Code.or.Value","BIXS031K.Value.Description","BIXS031K.Count","BIXS031K.Cumulative","BIXS031K.Skip.to.Item"
"200.51 to 1015.25","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
