"BIXS093K.Code.or.Value","BIXS093K.Value.Description","BIXS093K.Count","BIXS093K.Cumulative","BIXS093K.Skip.to.Item"
"153.11 to 939.72","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
