"LEXBRPM.Code.or.Value","LEXBRPM.Value.Description","LEXBRPM.Count","LEXBRPM.Cumulative","LEXBRPM.Skip.to.Item"
"89 to 241","Range of Values",2560,2560,NA
".","Missing",315,2875,NA
