"SMD100LN.Code.or.Value","SMD100LN.Value.Description","SMD100LN.Count","SMD100LN.Cumulative","SMD100LN.Skip.to.Item"
"1","Regular (68-72 mm)",45,45,NA
"2","King (79-88 mm)",623,668,NA
"3","Long (94-101 mm)",410,1078,NA
"4","Ultra long (110-121 mm)",14,1092,NA
".","Missing",6076,7168,NA
