"MGQ100.Code.or.Value","MGQ100.Value.Description","MGQ100.Count","MGQ100.Cumulative","MGQ100.Skip.to.Item"
"1","Yes",675,675,NA
"2","No",6451,7126,NA
"7","Refused",2,7128,NA
"9","Don't know",3,7131,NA
".","Missing",690,7821,NA
