"AUXU2KL.Code.or.Value","AUXU2KL.Value.Description","AUXU2KL.Count","AUXU2KL.Cumulative","AUXU2KL.Skip.to.Item"
"-10 to 120","Range of Values",1882,1882,NA
"666","No response",0,1882,NA
"888","Could not obtain",0,1882,NA
".","Missing",164,2046,NA
