"BPQ100B.Code.or.Value","BPQ100B.Value.Description","BPQ100B.Count","BPQ100B.Cumulative","BPQ100B.Skip.to.Item"
"1","Yes",537,537,NA
"2","No",149,686,NA
"7","Refused",0,686,NA
"9","Don't know",0,686,NA
".","Missing",5948,6634,NA
