"LBXBAPCT.Code.or.Value","LBXBAPCT.Value.Description","LBXBAPCT.Count","LBXBAPCT.Cumulative","LBXBAPCT.Skip.to.Item"
"0 to 14.4","Range of Values",7944,7944,NA
".","Missing",1012,8956,NA
