"DR1TS040.Code.or.Value","DR1TS040.Value.Description","DR1TS040.Count","DR1TS040.Cumulative","DR1TS040.Skip.to.Item"
"0 to 5.797","Range of Values",8327,8327,NA
".","Missing",1217,9544,NA
