"DR1_040Z.Code.or.Value","DR1_040Z.Value.Description","DR1_040Z.Count","DR1_040Z.Cumulative","DR1_040Z.Skip.to.Item"
"1","Yes",99927,99927,NA
"2","No",44948,144875,NA
"7","Refused",0,144875,NA
"9","Don't know",5,144880,NA
".","Missing",823,145703,NA
